epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6169.56,1.26407,1.78026,0.01629,0.67625,0.58319,0.64779,0.43936,1.20802,1.34703,0.02154,0.0005941,0.0005941,0.0005941
43,6316.09,1.25563,1.75872,0.01635,0.68815,0.5806,0.65137,0.44275,1.2064,1.33392,0.02151,0.0005842,0.0005842,0.0005842
44,6461.3,1.24454,1.7492,0.01607,0.68269,0.58443,0.65466,0.44501,1.20346,1.32655,0.02142,0.0005743,0.0005743,0.0005743
45,6607.1,1.24242,1.74908,0.01607,0.6858,0.58981,0.6571,0.44824,1.19604,1.32394,0.02123,0.0005644,0.0005644,0.0005644
46,6752.91,1.2439,1.72842,0.01605,0.6959,0.59387,0.66215,0.45179,1.19222,1.31617,0.02116,0.0005545,0.0005545,0.0005545
47,6898.14,1.23778,1.71514,0.01595,0.69344,0.59654,0.66419,0.45323,1.18887,1.30901,0.02104,0.0005446,0.0005446,0.0005446
48,7043.18,1.23579,1.70928,0.01594,0.69703,0.59819,0.66741,0.45684,1.18643,1.30318,0.02101,0.0005347,0.0005347,0.0005347
49,7188.37,1.2345,1.6984,0.01586,0.68967,0.60529,0.66853,0.45833,1.18259,1.29984,0.02094,0.0005248,0.0005248,0.0005248
50,7333.57,1.22854,1.69841,0.01586,0.68836,0.60131,0.66975,0.45956,1.18065,1.29708,0.02087,0.0005149,0.0005149,0.0005149
51,7478.67,1.22625,1.69144,0.01585,0.69692,0.60492,0.67168,0.46114,1.17867,1.29021,0.02082,0.000505,0.000505,0.000505
52,7623.64,1.22318,1.6797,0.01561,0.68428,0.61478,0.67331,0.46319,1.17602,1.28431,0.02074,0.0004951,0.0004951,0.0004951
53,7769.79,1.21419,1.66763,0.01548,0.69788,0.60272,0.67455,0.46489,1.17345,1.28086,0.02069,0.0004852,0.0004852,0.0004852
54,7914.97,1.21601,1.66203,0.01571,0.6868,0.61586,0.67626,0.46558,1.17236,1.27563,0.02064,0.0004753,0.0004753,0.0004753
55,8060.21,1.21195,1.66199,0.01549,0.68917,0.61324,0.67787,0.46754,1.17287,1.2708,0.02063,0.0004654,0.0004654,0.0004654
