epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7690.47,1.26072,1.83968,0.01659,0.67578,0.57237,0.63355,0.4272,1.20757,1.3788,0.02169,0.0005941,0.0005941,0.0005941
43,7913.23,1.25868,1.81563,0.01665,0.6679,0.57681,0.63579,0.42951,1.20607,1.36538,0.02166,0.0005842,0.0005842,0.0005842
44,8136.74,1.25029,1.81552,0.01629,0.6665,0.58247,0.64001,0.4324,1.20187,1.36033,0.02152,0.0005743,0.0005743,0.0005743
45,8360.49,1.24629,1.80945,0.01633,0.67101,0.58446,0.64175,0.43368,1.19863,1.35843,0.02146,0.0005644,0.0005644,0.0005644
46,8583.09,1.24217,1.79765,0.01623,0.6841,0.57853,0.64506,0.43651,1.19455,1.35435,0.02137,0.0005545,0.0005545,0.0005545
47,8806.54,1.24552,1.78687,0.01624,0.6831,0.58279,0.64677,0.4388,1.19368,1.34561,0.02134,0.0005446,0.0005446,0.0005446
48,9029.9,1.23571,1.78391,0.01617,0.67904,0.59058,0.65093,0.44193,1.19132,1.33945,0.02132,0.0005347,0.0005347,0.0005347
49,9253.3,1.24013,1.78106,0.0161,0.68357,0.59109,0.65382,0.44452,1.18962,1.33516,0.02127,0.0005248,0.0005248,0.0005248
50,9476.79,1.24167,1.76846,0.01606,0.68335,0.59458,0.65412,0.44537,1.18975,1.32846,0.02127,0.0005149,0.0005149,0.0005149
51,9699.83,1.22287,1.74252,0.01588,0.67177,0.6019,0.65518,0.44586,1.18586,1.32841,0.02121,0.000505,0.000505,0.000505
52,9923.01,1.22874,1.74457,0.01581,0.69183,0.58894,0.65689,0.44678,1.18354,1.3264,0.02113,0.0004951,0.0004951,0.0004951
53,10146.3,1.21501,1.7307,0.01574,0.67774,0.6014,0.65901,0.44833,1.18124,1.32293,0.02107,0.0004852,0.0004852,0.0004852
54,10369.7,1.21798,1.7344,0.01578,0.68446,0.59865,0.66078,0.44956,1.17884,1.31988,0.02102,0.0004753,0.0004753,0.0004753
55,10593.1,1.21292,1.71825,0.01565,0.69426,0.59644,0.66202,0.45174,1.17884,1.3128,0.02101,0.0004654,0.0004654,0.0004654
56,10814.9,1.21299,1.71391,0.01564,0.70543,0.59174,0.66371,0.45371,1.17752,1.30814,0.02098,0.0004555,0.0004555,0.0004555
57,11038.3,1.20157,1.69673,0.01551,0.70179,0.59523,0.66547,0.45565,1.17665,1.30327,0.02097,0.0004456,0.0004456,0.0004456
58,11261.3,1.20414,1.68556,0.01554,0.71668,0.58559,0.66688,0.45648,1.17476,1.2993,0.02091,0.0004357,0.0004357,0.0004357
59,11485.3,1.19718,1.68797,0.01546,0.6994,0.60156,0.66805,0.45721,1.17263,1.29669,0.02085,0.0004258,0.0004258,0.0004258
60,11708.4,1.19262,1.66967,0.01538,0.71275,0.59834,0.6707,0.45875,1.17168,1.29209,0.02081,0.0004159,0.0004159,0.0004159
61,11931.8,1.19114,1.66079,0.01546,0.71549,0.59653,0.67185,0.45989,1.17048,1.29131,0.02079,0.000406,0.000406,0.000406
62,12155.1,1.19731,1.66964,0.01531,0.7253,0.58914,0.67286,0.46055,1.1698,1.28934,0.02078,0.0003961,0.0003961,0.0003961
63,12378.4,1.19322,1.6553,0.01538,0.71873,0.5939,0.67334,0.46115,1.1685,1.28736,0.02076,0.0003862,0.0003862,0.0003862
64,12601.3,1.18804,1.6381,0.01518,0.72022,0.59344,0.67363,0.46201,1.16856,1.28233,0.02076,0.0003763,0.0003763,0.0003763
65,12824.3,1.18778,1.64961,0.01527,0.72078,0.59634,0.6746,0.46312,1.16509,1.2835,0.02067,0.0003664,0.0003664,0.0003664
66,13047.3,1.18065,1.63234,0.01526,0.72829,0.59419,0.67495,0.46351,1.16481,1.2812,0.02067,0.0003565,0.0003565,0.0003565
67,13270.7,1.17979,1.6222,0.01513,0.72147,0.59737,0.67566,0.46414,1.16394,1.27941,0.02065,0.0003466,0.0003466,0.0003466
68,13493.7,1.1745,1.62291,0.0151,0.72139,0.59841,0.67614,0.46491,1.1631,1.27726,0.02063,0.0003367,0.0003367,0.0003367
69,13716.9,1.17602,1.61659,0.015,0.71587,0.6015,0.67643,0.46539,1.16266,1.27457,0.02062,0.0003268,0.0003268,0.0003268
70,13940.1,1.17074,1.60899,0.01503,0.72508,0.59722,0.67743,0.46633,1.16279,1.27056,0.02062,0.0003169,0.0003169,0.0003169
71,14126.4,1.1684,1.60277,0.01496,0.72746,0.59829,0.67826,0.46694,1.16175,1.26984,0.02059,0.000307,0.000307,0.000307
72,14294.2,1.16333,1.59885,0.01486,0.72786,0.60004,0.67811,0.46717,1.16272,1.26629,0.02062,0.0002971,0.0002971,0.0002971
73,14462.4,1.16772,1.58628,0.01482,0.72315,0.60273,0.67912,0.46808,1.16305,1.2628,0.02062,0.0002872,0.0002872,0.0002872
74,14630.6,1.15988,1.57825,0.01479,0.72592,0.60256,0.68004,0.46877,1.16323,1.25962,0.02061,0.0002773,0.0002773,0.0002773
