epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6323.6,1.24546,1.77807,0.01595,0.69271,0.59474,0.65722,0.45055,1.18921,1.34485,0.02085,0.0005941,0.0005941,0.0005941
43,6473.55,1.23399,1.76679,0.01592,0.69428,0.59831,0.66102,0.45286,1.18305,1.34295,0.02075,0.0005842,0.0005842,0.0005842
44,6625.21,1.22798,1.74839,0.01579,0.69583,0.59846,0.66324,0.45523,1.18154,1.33472,0.0207,0.0005743,0.0005743,0.0005743
45,6774.54,1.22543,1.74927,0.01579,0.69252,0.60055,0.66498,0.45638,1.17936,1.327,0.02066,0.0005644,0.0005644,0.0005644
46,6924.71,1.2294,1.73163,0.01577,0.70079,0.60003,0.66752,0.45823,1.17427,1.32014,0.02054,0.0005545,0.0005545,0.0005545
47,7073.45,1.22652,1.72058,0.01575,0.70214,0.60373,0.66978,0.46075,1.17405,1.30947,0.0205,0.0005446,0.0005446,0.0005446
48,7222.14,1.21895,1.70966,0.01561,0.70211,0.61088,0.67416,0.46473,1.17306,1.30278,0.02048,0.0005347,0.0005347,0.0005347
49,7370.78,1.21877,1.70168,0.01554,0.71042,0.6078,0.67688,0.46757,1.17039,1.29731,0.02042,0.0005248,0.0005248,0.0005248
50,7520.57,1.20962,1.70124,0.0155,0.71798,0.60492,0.67842,0.46885,1.16857,1.28993,0.02036,0.0005149,0.0005149,0.0005149
51,7670.82,1.21583,1.68627,0.0156,0.70604,0.61397,0.6806,0.4708,1.16492,1.28786,0.02027,0.000505,0.000505,0.000505
52,7820.58,1.20666,1.67851,0.01525,0.71226,0.61275,0.68127,0.47337,1.16353,1.28253,0.02023,0.0004951,0.0004951,0.0004951
53,7969.66,1.19938,1.66917,0.01521,0.71331,0.61591,0.68205,0.47481,1.16225,1.27718,0.02021,0.0004852,0.0004852,0.0004852
54,8120.24,1.19628,1.66106,0.01536,0.71169,0.62122,0.68405,0.47603,1.16031,1.27236,0.02017,0.0004753,0.0004753,0.0004753
55,8270.99,1.19851,1.66663,0.01519,0.71313,0.6223,0.68566,0.47771,1.15776,1.26881,0.02012,0.0004654,0.0004654,0.0004654
56,8422.59,1.20005,1.64347,0.01517,0.71302,0.62139,0.68782,0.47934,1.15648,1.26317,0.02007,0.0004555,0.0004555,0.0004555
57,8572.36,1.18657,1.62923,0.01505,0.71119,0.62344,0.68863,0.48027,1.15545,1.25826,0.02005,0.0004456,0.0004456,0.0004456
58,8722.62,1.18215,1.62821,0.0149,0.71958,0.6216,0.69029,0.48142,1.15391,1.25543,0.02001,0.0004357,0.0004357,0.0004357
59,8871.68,1.17801,1.61629,0.01499,0.72017,0.62345,0.69133,0.48246,1.15235,1.25386,0.01995,0.0004258,0.0004258,0.0004258
60,9021.42,1.17598,1.60675,0.01487,0.72119,0.62298,0.69276,0.48411,1.15194,1.24869,0.01992,0.0004159,0.0004159,0.0004159
61,9170.91,1.1751,1.59984,0.01491,0.71843,0.62286,0.69307,0.48466,1.15135,1.24457,0.01989,0.000406,0.000406,0.000406
62,9319.7,1.17405,1.5935,0.01476,0.71928,0.62193,0.6951,0.4866,1.1486,1.24336,0.01982,0.0003961,0.0003961,0.0003961
63,9469.66,1.17777,1.59393,0.01475,0.72224,0.62287,0.69607,0.48725,1.14689,1.24125,0.01978,0.0003862,0.0003862,0.0003862
64,9618.77,1.1713,1.577,0.01477,0.72661,0.62381,0.69678,0.48813,1.14603,1.24008,0.01975,0.0003763,0.0003763,0.0003763
65,9768.57,1.16356,1.56382,0.01468,0.72208,0.62865,0.69746,0.48909,1.14561,1.23621,0.01974,0.0003664,0.0003664,0.0003664
66,9916.93,1.16916,1.56998,0.01475,0.72171,0.62765,0.69851,0.4903,1.14435,1.23364,0.0197,0.0003565,0.0003565,0.0003565
67,10066.5,1.16,1.55184,0.01465,0.72195,0.62764,0.69843,0.49056,1.14498,1.23079,0.01971,0.0003466,0.0003466,0.0003466
68,10217.6,1.15471,1.55379,0.01453,0.72952,0.62534,0.69996,0.49157,1.14424,1.22765,0.01968,0.0003367,0.0003367,0.0003367
69,10365.8,1.14899,1.54087,0.01444,0.72359,0.62653,0.70012,0.492,1.14389,1.22533,0.01967,0.0003268,0.0003268,0.0003268
70,10515.4,1.1491,1.53474,0.01447,0.72512,0.62669,0.70066,0.4926,1.14312,1.22356,0.01966,0.0003169,0.0003169,0.0003169
71,10665.1,1.15559,1.52374,0.01451,0.72202,0.62978,0.70133,0.49327,1.14306,1.22117,0.01965,0.000307,0.000307,0.000307
72,10814.7,1.14652,1.52328,0.01442,0.73166,0.62512,0.70211,0.49406,1.14158,1.2208,0.0196,0.0002971,0.0002971,0.0002971
73,10964.3,1.14517,1.51762,0.01423,0.73229,0.62447,0.70246,0.49451,1.14124,1.2191,0.0196,0.0002872,0.0002872,0.0002872
74,11115.5,1.14237,1.51176,0.0142,0.72987,0.62556,0.70297,0.49468,1.14117,1.21641,0.01959,0.0002773,0.0002773,0.0002773
75,11263.9,1.13184,1.49461,0.01426,0.73069,0.62556,0.70347,0.49532,1.141,1.21447,0.01958,0.0002674,0.0002674,0.0002674
76,11412.4,1.14574,1.50684,0.01425,0.72562,0.62919,0.70417,0.49582,1.14085,1.21307,0.01957,0.0002575,0.0002575,0.0002575
77,11561,1.13822,1.49193,0.01419,0.73283,0.62657,0.70452,0.49602,1.13979,1.21251,0.01956,0.0002476,0.0002476,0.0002476
78,11710.7,1.13235,1.48215,0.01413,0.72319,0.63474,0.70556,0.4966,1.13886,1.21145,0.01953,0.0002377,0.0002377,0.0002377
79,11860.3,1.13203,1.47668,0.01421,0.72595,0.63578,0.70602,0.49708,1.13817,1.21091,0.0195,0.0002278,0.0002278,0.0002278
80,12009.6,1.13294,1.47,0.01406,0.72557,0.63591,0.70622,0.4971,1.13743,1.2104,0.01949,0.0002179,0.0002179,0.0002179
81,12159.6,1.12443,1.46832,0.01406,0.72494,0.63837,0.70686,0.49772,1.13638,1.20939,0.01947,0.000208,0.000208,0.000208
82,12307.2,1.1227,1.47473,0.01395,0.72595,0.63801,0.70665,0.49802,1.13697,1.2066,0.01948,0.0001981,0.0001981,0.0001981
83,12456.8,1.11875,1.46575,0.01382,0.7254,0.6383,0.70782,0.49876,1.13629,1.20594,0.01945,0.0001882,0.0001882,0.0001882
84,12605.4,1.1218,1.46205,0.01396,0.72486,0.63841,0.7081,0.49917,1.13598,1.20563,0.01943,0.0001783,0.0001783,0.0001783
85,12753.7,1.11843,1.45274,0.014,0.72638,0.63948,0.70856,0.49945,1.13558,1.20441,0.01944,0.0001684,0.0001684,0.0001684
86,12895.8,1.10422,1.17828,0.01654,0.72816,0.6367,0.70926,0.50016,1.1351,1.20227,0.01943,0.0001585,0.0001585,0.0001585
87,13035.6,1.08215,1.13559,0.01606,0.7252,0.64094,0.70973,0.50056,1.13551,1.19861,0.01942,0.0001486,0.0001486,0.0001486
88,13176.4,1.06983,1.11902,0.01571,0.73201,0.63783,0.71025,0.50106,1.13525,1.19619,0.01941,0.0001387,0.0001387,0.0001387
89,13315.9,1.06615,1.10486,0.0157,0.72913,0.64033,0.71111,0.50215,1.13559,1.19254,0.01942,0.0001288,0.0001288,0.0001288
90,13457.9,1.05936,1.09931,0.01552,0.73247,0.63941,0.71125,0.50261,1.13468,1.19247,0.01941,0.0001189,0.0001189,0.0001189
91,13597.6,1.0561,1.08938,0.01542,0.73611,0.6377,0.71227,0.50353,1.13396,1.19123,0.01939,0.000109,0.000109,0.000109
92,13739.4,1.05221,1.08019,0.01528,0.73754,0.63652,0.71224,0.50372,1.13379,1.18931,0.01939,9.91e-05,9.91e-05,9.91e-05
93,13880,1.04878,1.08172,0.01517,0.7391,0.63804,0.71265,0.50405,1.13326,1.18773,0.01937,8.92e-05,8.92e-05,8.92e-05
94,14020.5,1.0482,1.06593,0.01513,0.73824,0.63842,0.71294,0.50452,1.133,1.1858,0.01935,7.93e-05,7.93e-05,7.93e-05
95,14160.2,1.04124,1.06439,0.01517,0.73827,0.63741,0.71302,0.50493,1.13197,1.18539,0.01934,6.94e-05,6.94e-05,6.94e-05
96,14302.3,1.0379,1.05869,0.01503,0.73937,0.63808,0.71337,0.5052,1.13221,1.18297,0.01935,5.95e-05,5.95e-05,5.95e-05
97,14442.3,1.04127,1.04601,0.01487,0.73776,0.64035,0.71448,0.50618,1.13204,1.18079,0.01934,4.96e-05,4.96e-05,4.96e-05
98,14582.4,1.03448,1.04534,0.01487,0.74114,0.63972,0.71433,0.5069,1.13142,1.18027,0.01933,3.97e-05,3.97e-05,3.97e-05
99,14723.2,1.03165,1.0371,0.01487,0.74223,0.64043,0.71483,0.50728,1.13068,1.17974,0.0193,2.98e-05,2.98e-05,2.98e-05
100,14864.5,1.03347,1.0371,0.01478,0.74867,0.63906,0.71567,0.50795,1.13091,1.17769,0.0193,1.99e-05,1.99e-05,1.99e-05
